time_ms,accel_x_mps2,accel_y_mps2,accel_z_mps2
73060.0,0.98,-6.81,-7.16
89296.0,0.98,-6.79,-7.17
109176.0,0.95,-6.88,-7.1
129116.0,0.96,-6.86,-7.14
149052.0,0.95,-6.88,-7.17
168968.0,0.98,-6.82,-7.21
188876.0,0.98,-6.82,-7.21
209416.0,1.0,-6.89,-7.13
229356.0,1.0,-6.88,-7.14
249284.0,0.94,-6.82,-7.18
269208.0,0.96,-6.8,-7.19
289148.0,0.95,-6.86,-7.15
309080.0,0.95,-6.86,-7.15
329028.0,0.96,-6.83,-7.16
349576.0,0.95,-6.83,-7.14
369500.0,0.94,-6.79,-7.15
389456.0,1.01,-6.87,-7.11
409388.0,1.0,-6.88,-7.12
429332.0,0.96,-6.83,-7.16
449268.0,0.95,-6.86,-7.17
469200.0,0.95,-6.86,-7.17
489744.0,0.98,-6.88,-7.06
509688.0,0.91,-6.86,-7.17
529628.0,0.96,-6.84,-7.15
549560.0,0.96,-6.85,-7.13
569500.0,0.99,-6.88,-7.11
589432.0,0.96,-6.88,-7.16
609372.0,0.93,-6.84,-7.18
629300.0,0.93,-6.84,-7.18
649848.0,0.93,-6.85,-7.16
669784.0,0.94,-6.85,-7.14
689728.0,0.99,-6.85,-7.12
709660.0,0.95,-6.84,-7.17
729596.0,0.98,-6.85,-7.13
749532.0,0.96,-6.82,-7.1
769468.0,0.96,-6.82,-7.1
790000.0,0.98,-6.83,-7.14
809948.0,0.97,-6.85,-7.17
829884.0,0.98,-6.88,-7.16
849800.0,0.97,-6.82,-7.12
869756.0,0.98,-6.83,-7.13
889692.0,0.95,-6.86,-7.19
909640.0,0.98,-6.85,-7.17
929572.0,0.98,-6.85,-7.17
950120.0,0.97,-6.89,-7.13
970080.0,1.01,-6.89,-7.12
990016.0,0.91,-6.83,-7.11
1009956.0,0.99,-6.85,-7.19
1029936.0,1.0,-6.82,-7.18
1049912.0,0.95,-6.86,-7.16
1069884.0,0.97,-6.85,-7.09
1089864.0,0.99,-6.83,-7.17
1109828.0,0.96,-6.82,-7.2
1129824.0,0.96,-6.82,-7.12
1149788.0,0.96,-6.82,-7.12
1169780.0,0.96,-6.84,-7.16
1190348.0,0.96,-6.84,-7.16
1210332.0,0.95,-6.79,-7.14
1230312.0,0.96,-6.82,-7.2
1250288.0,0.94,-6.89,-7.15
1270264.0,0.96,-6.86,-7.16
1290240.0,0.95,-6.85,-7.22
1310216.0,0.98,-6.84,-7.15
1330192.0,0.99,-6.86,-7.2
1350180.0,0.97,-6.84,-7.13
1370136.0,0.91,-6.88,-7.1
1390108.0,0.98,-6.82,-7.16
1410080.0,0.95,-6.85,-7.14
